Tarea,Categoría,Completada,Fecha Límite,Prioridad,Notas
"Elegir el venue","Venue","Sí","15/12/2026","Alta","Ya contratado, incluye catering"
"Contratar fotógrafo","Fotos","Sí","20/12/2026","Alta","Juan García - 10 años experiencia"
"Elegir pastel","Catering","No","10/01/2027","Media","Probar 3 opciones diferentes"
"Enviar invitaciones","Invitados","No","25/12/2026","Alta","Incluir RSVP online"
"Confirmar DJ / Música","Música","No","15/01/2027","Media","DJ Carlos - Tiene lista de canciones"
"Flores y decoración","Flores","No","28/01/2027","Media","Tonos rosa y blanco"
"Vestido y traje","Look","Sí","10/11/2026","Alta","Vestido personalizado - Sastre confirma"
"Reservar luna de miel","Viaje","No","31/01/2027","Media","Maldivas 15 días"
"Hacer prueba de menú","Catering","Sí","08/01/2027","Alta","Con catering elite - aprobado"
"Reconfirmar RSVP","Invitados","No","01/02/2027","Alta","Recordar a pendientes"
"Preparar itinerario del día","Logística","No","28/01/2027","Media","Incluir horarios exactos"
"Hospedaje para invitados","Hospedaje","Sí","15/12/2026","Media","3 hoteles bloqueados"
"Prueba de peinado","Look","No","20/01/2027","Media","Con estilista Marcela"
"Prueba de maquillaje","Look","Sí","20/01/2027","Media","Durabilidad todo el día confirmada"
"Contratar transportación","Logística","No","15/01/2027","Media","Autobús de hotel a venue"
"Diseñar invitaciones","Papelería","Sí","30/11/2026","Media","Tema flores, colores rosa"
"Confirmar catering final","Catering","No","01/02/2027","Alta","Número de invitados definitivo"
"Hacer prueba de flores","Flores","No","25/01/2027","Media","Ramo de novia y centros"
"Preparar discursos","Ceremonia","No","05/02/2027","Media","Padrinos y padres"
"Licencia de matrimonio","Legal","Sí","30/10/2026","Alta","Ya completada"
"Seguro de vestido","Protección","No","31/01/2027","Baja","Para limpieza profesional"
"Crear playlist con DJ","Música","No","20/01/2027","Media","150+ canciones ordenadas"
"Diseño de decoración","Decoración","No","15/01/2027","Media","Arcos, centros, luces"
"Reservar fotografía de grupo","Fotos","No","25/01/2027","Baja","Al final de la ceremonia"
"Confirmar números invitados","Invitados","No","27/01/2027","Alta","Para catering final"