Concepto,Categoría,Estimado,Pagado,Pendiente,% Pagado,Proveedor,Fecha Pago,Método,Notas
"Venue / Salón","Venue","45000.00","20000.00","25000.00","44.4%","Hotel Gran Palace","15/03/2024","Tarjeta","Depósito inicial 45%"
"Catering (por persona)","Catering","60000.00","30000.00","30000.00","50.0%","Catering Elite","15/03/2024","Transferencia","200 personas x 300"
"Fotógrafo","Fotos","15000.00","15000.00","0.00","100.0%","Juan García","15/03/2024","Efectivo","Incluye álbum digital"
"Videógrafo","Fotos","8000.00","0.00","8000.00","0.0%","Pro Video Studio","","","Pendiente confirmar"
"DJ + Equipamiento","Música","5000.00","2500.00","2500.00","50.0%","DJ Carlos","15/03/2024","Tarjeta","Incluye sound system"
"Flores y Arreglos","Flores","8500.00","8500.00","0.00","100.0%","Flores y Diseño","10/02/2024","Efectivo","Ramo + centros + arco"
"Vestido de Novia","Look","18000.00","5000.00","13000.00","27.8%","Diseñadora Marcela","15/02/2024","Tarjeta","Diseño personalizado"
"Traje del Novio","Look","4500.00","4500.00","0.00","100.0%","Sastre López","01/02/2024","Efectivo","Traje a medida"
"Accesorios de Novia","Look","2500.00","1200.00","1300.00","48.0%","Tienda Elegancia","15/03/2024","Tarjeta","Velo, corona, zapatos"
"Maquillaje y Peinado","Belleza","2000.00","2000.00","0.00","100.0%","Estilista Marcela","","","Ensayo + día de boda"
"Invitaciones Impresas","Papelería","2000.00","2000.00","0.00","100.0%","Imprenta Moderna","01/12/2023","Efectivo","250 invitaciones"
"Pastel de Bodas","Catering","5000.00","2500.00","2500.00","50.0%","Pastelería Dulce","","","Diseño 3 pisos"
"Bebidas Alcohólicas","Catering","12000.00","6000.00","6000.00","50.0%","Distribuidora Vinos","01/02/2024","Transferencia","Vino, cerveza, licor"
"Transporte Invitados","Logística","3500.00","0.00","3500.00","0.0%","Bus Tours Deluxe","","","Autobús del hotel al venue"
"Hospedaje Coordinador","Hospedaje","2000.00","2000.00","0.00","100.0%","Hotel Gran Palace","10/02/2024","Tarjeta","2 noches"
"Decoración Adicional","Decoración","4000.00","0.00","4000.00","0.0%","Eventos Diseño","","","Luces, telones"
"Favores para Invitados","Detalles","2500.00","0.00","2500.00","0.0%","Artesanía Local","","","200 chocolates personalizados"
"Regalos Padrinos","Regalos","1500.00","1500.00","0.00","100.0%","Joyería Costa","15/01/2024","Tarjeta","Relojes de lujo"
"Anillos de Boda","Joyería","8000.00","8000.00","0.00","100.0%","Joyería Real","01/12/2023","Tarjeta","Oro blanco"
"Coordinador de Evento","Servicios","6000.00","3000.00","3000.00","50.0%","Eventos Perfectos","01/02/2024","Tarjeta","Coordinación día completo"
"Permiso de Locales","Trámite","500.00","500.00","0.00","100.0%","Municipio","15/10/2023","Efectivo","Licencia del evento"
"Matrimonio Legal","Legal","800.00","800.00","0.00","100.0%","Registro Civil","01/11/2023","Efectivo","Notario incluido"
"Invitación Online (Web)","Tecnología","1500.00","1500.00","0.00","100.0%","Paperless Post","01/11/2023","Tarjeta","RSVP digital"
"Luna de Miel","Viaje","35000.00","10000.00","25000.00","28.6%","Viajes Paraíso","15/12/2023","Tarjeta","Maldivas 15 días"
"Seguro de Evento","Protección","1200.00","1200.00","0.00","100.0%","Seguros Plus","01/01/2024","Transferencia","Cobertura completa"
"Imprevistos","Buffer","5000.00","0.00","5000.00","0.0%","","","","Fondo de emergencia"

"","","254200.00","129700.00","124500.00","51.0%","","",""